"Meldewoche"	"Altersgruppierung: 1-Jahresintervalle"
""	"A00..00"	"A01..01"	"A02..02"	"A03..03"	"A04..04"	"A05..05"	"A06..06"	"A07..07"	"A08..08"	"A09..09"	"A10..10"	"A11..11"	"A12..12"	"A13..13"	"A14..14"	"A15..15"	"A16..16"	"A17..17"	"A18..18"	"A19..19"	"A20..20"	"A21..21"	"A22..22"	"A23..23"	"A24..24"	"A25..25"	"A26..26"	"A27..27"	"A28..28"	"A29..29"	"A30..30"	"A31..31"	"A32..32"	"A33..33"	"A34..34"	"A35..35"	"A36..36"	"A37..37"	"A38..38"	"A39..39"	"A40..40"	"A41..41"	"A42..42"	"A43..43"	"A44..44"	"A45..45"	"A46..46"	"A47..47"	"A48..48"	"A49..49"	"A50..50"	"A51..51"	"A52..52"	"A53..53"	"A54..54"	"A55..55"	"A56..56"	"A57..57"	"A58..58"	"A59..59"	"A60..60"	"A61..61"	"A62..62"	"A63..63"	"A64..64"	"A65..65"	"A66..66"	"A67..67"	"A68..68"	"A69..69"	"A70..70"	"A71..71"	"A72..72"	"A73..73"	"A74..74"	"A75..75"	"A76..76"	"A77..77"	"A78..78"	"A79..79"	"A80+"	"Unbekannt"
"19"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	"1"	""	"1"	"1"	""	""	""	"1"	""	"1"	"1"	"3"	"2"	"1"	"3"	"2"	"3"	"2"	"2"	"2"	"1"	"2"	""	"2"	""	"1"	"1"	""	""	""	"1"	"3"	""	""	"1"	"3"	"3"	"4"	""	"3"	"2"	"2"	""	"2"	"2"	"1"	"1"	"3"	""	""	"3"	"1"	""	"1"	""	""	"1"	""	"1"	""	"2"	""	"1"	"3"	"2"	"13"	""
"20"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	"1"	""	"1"	""	""	""	""	"1"	"2"	""	""	""	"2"	""	"1"	"1"	"1"	"1"	"1"	"1"	""	""	""	"1"	""	"1"	"1"	"1"	""	""	""	""	"1"	"2"	"1"	"2"	"1"	"1"	"1"	""	"3"	""	""	"2"	""	"2"	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	"1"	""	"5"	""
"21"	"2"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	"2"	"1"	""	""	"1"	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	"1"	""	"1"	""	""	"1"	"1"	"2"	"4"	""
"22"	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	"1"	"1"	"1"	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""
"23"	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	"1"	"1"	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	"1"	"1"	""	"2"	""	"1"	"1"	"1"	""	""	"1"	"2"	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	"1"	"1"	"1"	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""
"24"	"1"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	"1"	"1"	""	""	""	""	"1"	"1"	"1"	""	""	"1"	"1"	"2"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""
"25"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	"1"	""	"1"	"1"	"1"	"1"	"1"	"2"	""	"1"	"1"	""	"1"	""	""	""	""	""	"1"	"1"	""	""	"1"	"2"	""	"1"	""	""	""	"1"	"2"	"3"	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	"1"	""
"26"	""	"1"	"1"	"1"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"1"	"1"	""	""	"1"	"3"	"2"	""	""	"2"	"2"	"2"	"2"	"2"	""	""	"3"	"1"	"1"	""	""	""	"3"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	"1"	"1"	"1"	""	""	""	""	"2"	"1"	""	""	"2"	""
"27"	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	"2"	"1"	"1"	""	"1"	"1"	""	""	""	""	""	"1"	""	"1"	""	"1"	""	"1"	""	"1"	"1"	""	""	"1"	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"2"	""
"28"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"1"	"2"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2"	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""
"29"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	""	"1"	"2"	""	"1"	""	"1"	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	""	"1"	""	"1"	""	"1"	""	"1"	"1"	"2"	""	""	"1"	"2"	"2"	"1"	"1"	"3"	"1"	""	""	"1"	""	""	"2"	"2"	"2"	""	""	"1"	"3"	"3"	"1"	"4"	"1"	""	"6"	"4"	""	"1"	"3"	"1"	"1"	"1"	""	"4"	"1"	"2"	""	"2"	"1"	"1"	""	"3"	"1"	""	"2"	"2"	"1"	""	""	""	""	"2"	"1"	""	""	"1"	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	"9"	""
"31"	""	"1"	""	""	""	"2"	""	""	""	"1"	"3"	"1"	"1"	"3"	"2"	""	"1"	"2"	"1"	"3"	"1"	"2"	"1"	""	"3"	"2"	"2"	"6"	"3"	"4"	"1"	"2"	"3"	"2"	"2"	"4"	"1"	"1"	"4"	"2"	"2"	"5"	"1"	"1"	""	"4"	"3"	"1"	"2"	"1"	"1"	"1"	"1"	""	"2"	"1"	"3"	"1"	"2"	"1"	"2"	""	""	"1"	"2"	""	""	""	""	""	""	"2"	"1"	"1"	""	""	""	""	""	"1"	"4"	""
"32"	""	"1"	"1"	"1"	"4"	"2"	"3"	"2"	"2"	"3"	"1"	"5"	"5"	"4"	"4"	"4"	"2"	"5"	"4"	"6"	"19"	"5"	"2"	"3"	"6"	"7"	"5"	"5"	"4"	"3"	"8"	"2"	"6"	"5"	"9"	"3"	"9"	"10"	"1"	"2"	"7"	"10"	"5"	"5"	"4"	"1"	"5"	"4"	"2"	"5"	"2"	"5"	"2"	"1"	"4"	"3"	"4"	"1"	"2"	"5"	""	"1"	"1"	"2"	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	"1"	"6"	"13"
"33"	"1"	""	""	"1"	"1"	"3"	"1"	"1"	"4"	""	"4"	"3"	"4"	"2"	"6"	"4"	"2"	"4"	"3"	"3"	"2"	"7"	"3"	"2"	"7"	"4"	"1"	"5"	"7"	"8"	"3"	"2"	"5"	"6"	"2"	"3"	"4"	"5"	"4"	"1"	"5"	"1"	"1"	"3"	"2"	""	"2"	"2"	"3"	"1"	"3"	"5"	"3"	"5"	"2"	"3"	"1"	"2"	"2"	""	"1"	"2"	""	"1"	""	""	"2"	""	""	"1"	"1"	""	""	""	"1"	""	""	"1"	""	""	"4"	"1"
